序号,礼包码,礼包物品列表,是否通用,生效时间,失效时间,礼包类型
1,04222FPmp3xmr,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
2,0422AfCbYK3VP,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
3,0422BR4SM2eZq,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
4,0422kPskrQwxi,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
5,0422qnCu4cXJ6,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
6,04233BrwA3btF,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
7,0423dcikanDVj,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
8,0424a9ZVZEd32,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
9,0424QxunKhtJT,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
10,04254aQE5jbEx,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
11,04258BYJJDAg5,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
12,0425k3YPw6aZZ,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
13,0425Wj8b6jM5j,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
14,0425ZAMnqqHP4,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
15,0425ZxNuSQ2xc,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
16,04264COK6QKvC,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
17,04279MTSusKd7,22000159|1;20000182|5;20000071|10,1,"2021-04-12 00:00:00","2025-04-13 00:00:00",5
